"","Vacancy Name","Count"
21,"программист 1c",4
14,"инженер по нормативно технической документации пуско наладочных работ",4
32,"программист 1с",3
3,"инженер асу тп",2
48,"начальник отдела информационных технологий",2
24,"вебмастер",2
31,"менеджер по кроссмаркетинговым проектам в интернет",2
37,"специалист поддержки программного обеспечения",2
5,"аналитик 1с",2
40,"системный администратор",2
44,"специалист сервисной поддержки 2 ая линия",1
45,"начальник сектора связь",1
46,"инженер 1 категории сетей связи и коммутации",1
47,"customer support representative",1
54,"интернет маркетолог",1
43,"аналитик бизнес процессов 1с erp удаленно",1
42,"ведущий инженер проектировщик асу тп",1
49,"специалист it отдела",1
50,"старший программист 1с",1
51,"smm менеджер контент маркетолог",1
52,"программист oracle bi",1
53,"ведущий инженер группы пусконаладочных работ",1
0,"инженер промышленная безопасность охрана труда и окружающей среды",1
55,"системный администраторруководитель it отдела",1
41,"менеджер проекта по разработке и внедрению автоматизированных информационных систем",1
71,"инженер аналитик в ит",1
70,"консультант axapta",1
69,"старший аналитик",1
68,"начальник центра технической эксплуатации телекоммуникаций г канск",1
67,"начальник центра технической эксплуатации телекоммуникаций",1
66,"менеджер по работе с клиентами в сервисный центр",1
65,"ведущий инженер отдела телекоммуникаций",1
64,"инженер по автоматизированным системам управления технологическими процессами инженер асутп",1
63,"продукт менеджер категория микрофоны наушники конференц системы",1
62,"внедренец менеджер проектов 1с п яблоновский",1
61,"инженер связист",1
60,"ведущий инженер программистначальник бюро бухгалтерского учета",1
59,"ведущий инженер программистначальник бюро сапр",1
58,"инженер по тестированию систем видеоконференцсвязи",1
57,"руководитель отдела продаж it",1
56,"руководитель тендерного отдела",1
36,"менеджер по интернет продвижению маркетплейсы cpa",1
39,"начальник отдела системного администрирования ит",1
18,"системный администратор windows linux",1
2,"ведущий специалист отдела маркетинга и рекламы",1
4,"ведущий программист 1с",1
6,"инженер программист ii категории",1
7,"web программист",1
8,"ведущий программист 1c",1
9,"инженер технической поддержки",1
10,"ведущий инженер технической поддержки",1
11,"начальник отдела наземной сети доставки программ",1
12,"специалист по защите информации",1
13,"специалист по контенту отдел интернет проектов департамент маркетинга и рекламы",1
15,"seo специалист",1
16,"digital маркетолог",1
17,"системный администратор чаянда",1
19,"программист стажер сопровождения 1с",1
38,"программист аналитик 1с",1
20,"координатор проектов",1
22,"специалист техник базы данных",1
23,"руководитель ит направления",1
25,"инженер монтажник",1
26,"главный специалист по информационным технологиям",1
27,"ведущий специалист по защите информации",1
28,"копирайтер в офис",1
29,"аналитик торгового отдела продукты питания",1
30,"графический дизайнер верстальщик",1
33,"программист 1с специалист по платформе",1
34,"разработчик схемотехник",1
35,"менеджер по автоматизации процессов",1
1,"старший специалист технической поддержки",1
72,"программист 1с альфа авто",1
